Region,Vaccine,Year,Percentage
Global,BCG,1980,15
Global,DTP1,1980,30
Global,DTP3,1980,20
Global,MCV1,1980,16
Global,POL3,1980,21
Global,RCV1,1980,3
Global,BCG,1981,21
Global,DTP1,1981,35
Global,DTP3,1981,23
Global,MCV1,1981,19
Global,POL3,1981,23
Global,RCV1,1981,3
Global,BCG,1982,23
Global,DTP1,1982,38
Global,DTP3,1982,25
Global,MCV1,1982,20
Global,POL3,1982,41
Global,RCV1,1982,4
Global,BCG,1983,36
Global,DTP1,1983,56
Global,DTP3,1983,38
Global,MCV1,1983,37
Global,POL3,1983,43
Global,RCV1,1983,4
Global,BCG,1984,44
Global,DTP1,1984,62
Global,DTP3,1984,45
Global,MCV1,1984,41
Global,POL3,1984,47
Global,RCV1,1984,5
Global,BCG,1985,48
Global,DTP1,1985,67
Global,DTP3,1985,49
Global,HEPB3,1985,0
Global,MCV1,1985,47
Global,POL3,1985,52
Global,RCV1,1985,5
Global,BCG,1986,52
Global,DTP1,1986,70
Global,DTP3,1986,52
Global,HEPB3,1986,0
Global,MCV1,1986,47
Global,POL3,1986,51
Global,RCV1,1986,5
Global,BCG,1987,61
Global,DTP1,1987,74
Global,DTP3,1987,56
Global,HEPB3,1987,0
Global,MCV1,1987,54
Global,POL3,1987,57
Global,RCV1,1987,5
Global,BCG,1988,67
Global,DTP1,1988,79
Global,DTP3,1988,64
Global,HEPB3,1988,0
Global,MCV1,1988,63
Global,POL3,1988,65
Global,RCV1,1988,6
Global,BCG,1989,70
Global,DTP1,1989,83
Global,DTP3,1989,68
Global,HEPB3,1989,0
Global,MCV1,1989,68
Global,POL3,1989,70
Global,RCV1,1989,7
Global,BCG,1990,81
Global,DTP1,1990,88
Global,DTP3,1990,75
Global,HEPB3,1990,1
Global,HIB3,1990,0
Global,MCV1,1990,73
Global,POL3,1990,75
Global,RCV1,1990,8
Global,BCG,1991,78
Global,DTP1,1991,86
Global,DTP3,1991,71
Global,HEPB3,1991,1
Global,HIB3,1991,0
